TAGGER_1,TAGGER_2,TWEET
YES,YES,@RailMinIndia Loss Rupees 2500 on Monday due to 2.5 hrs latency in Jbp-Ind express. Very bad. Late without any reason. Got late in ofc
YES,YES,@RailMinIndia below stated train waste almost one and half hour on platform please try to fix up less time!!! Help https://t.co/eFBcgrduwr
YES,YES,"@RailMinIndia having very bad experience by railway TTE in G3 OF 12984 SEAT 10 , TTE NOT EVEN RPLYD PRPRLY WEN ASKED ABT SEAT 4 LADIES"
YES,YES,"@sureshpprabhu @RailMinIndia sir,wt shall consumer do if IRCTC doesn;t take care of issue? thr telephone customer support is worst ever exp&gt;"
YES,YES,@sureshpprabhu @RailMinIndia Ind rail enquiry sys is down from last 1/2 an hour.unable to track train's location https://t.co/eGUdIQ51XT
YES,YES,"@RailMinIndia it's really bad service for RAC under 3rd AC category.... Really a bad experience.. No pillow,no bed sheet n really rude staff"
YES,YES,@RailMinIndia PNR 6253134881 train no 22940. Dirty toilets and bedroll. Pathetic. Please help.
YES,YES,@RailMinIndia Jbp pltfrm no.6 .This mess looks bad on an otherwise clean platform. https://t.co/peTDdynqVB
YES,YES,@sureshpprabhu @RailMinIndia The local train service is very bad on harbor line no place for commuters. Please help https://t.co/FhYqNTO89W
YES,YES,"@RailMinIndia @sureshpprabhu Can't even log in at tatkal time...why don't you increase bogie in Howrah Jamalpur express,disappointed"
NO,NO,@RailMinIndia Railway was never been so irresponsible. so called fake development is happening. railway was never been so irresponsible. ????
YES,YES,@sureshpprabhu @RailMinIndia ---total irctc website is down. unable to book tatkal. site is not reachable form last one hours
YES,YES,@RailMinIndia  I tried to cancel my I ticket before chart preparation. But due to login problem i was unable to do so Pnr no. is-2119194363
YES,YES,"@RailMinIndia  PNR-2646988021 I ws lkng fr lwr birth, but not alwd, wn brded lwr birth was empty, I trvld on lwr birth, why this happens"
YES,YES,@RailMinIndia  No one taking responsibility either at NDLS or BZA. It was supposed to be delivered on 4th. My work is suffering.
NO,NO,"@RailMinIndia please help one poor villager is no more just, HIRAKUD station SAMBALPUR divi. https://t.co/vIm0trDyQq"
NO,NO,@RailMinIndia  isn't tatkal booking is allowed at every station counter? unable to book at teghra station(TGA)
YES,YES,@sureshpprabhu @RailMinIndia trying to book tatkal ticket from MFP to NDLS for last 1 week and have failed due to your poor website performa
NO,NO,@RailMinIndia My Rating over Coach Quality:Rank 1 : CR2 : WR3 : NR4 : NWR5 : SCR ( Sachkhand Exp rake very poor).
NO,NO,"@RailMinIndia  Train no: 12017. Pnr: 2646724070. Reserved 2 tckts, 1 wtng. If only chair seats, then why allow waiting in shatabdi trains."
YES,YES,@sureshpprabhu @RailMinIndia last night travel from badnera(MH)found no Cleanliness@station.Toilets/water dispenser was in bad shape
YES,YES,@RailMinIndia @sureshpprabhu sir I requested fr wheelchair fr my old mother on bareilly station but no help provided.I m disappointed.
YES,YES,@sureshpprabhu @RailMinIndia @IRCTC_Ltd Disappointed trying ticket for past one and half hours!! How do we travel?? https://t.co/WgYEbrYZSB
YES,YES,"@RailMinIndia got stale snacks in train no.12791 in evening.(berth no.55 B-2, 3A). Vendor argued n denied. https://t.co/f23gpEeBtN"
YES,YES,@sureshpprabhu @RailMinIndia @drmdelhi Mission 5 min fail at DEC.PASSANGER not getting tickets in 5 min https://t.co/0GC9NW3uxB
YES,YES,@sureshpprabhu @RailMinIndia Platform No 4&amp;5 of #bhopal needs to be cleaned immediately. My PNR 8747162916 Waiting https://t.co/oX7ONddOZX
YES,YES,@RailMinIndia PNR 6252057607 train no. 14649..S7 -47 coach doesn't  have lights.....coach overcrowded. ....plz do smething...Mo..8858623000
YES,YES,@sureshpprabhu @RailMinIndia Coach-G16 12878 the condition of bathroom and coach is disappointing.. No water in bathroom.. Pnr - 276-1985743
NO,NO,@RailMinIndia @sureshpprabhu 2/2 I have an interview to attend on 13th June please help me sir please sir I can't afford any other mode plz
YES,YES,@RailMinIndia  irctc shows this stupid error when trying to book tatkal. I lost n dint get tikt. Tnx to awesome bugs https://t.co/gqoiCQQNdE
YES,YES,@sureshpprabhu @RailMinIndia pnr no. 6552618649 i have a visa appointment @10 A.M. tomorrow..train already late by 2 hours...plz help...
YES,YES,"@RailMinIndia @drmdelhi: 2419126211,No cold water bottles in Shtbdi.Attndt sys wait 1hr, aisi aati hai.Y shd i hav to wait or pay 2 rlwys..."
NO,NO,"@RailMinIndia I'm Cancer Pt When I booked   tkt fr checkup with my brother as escort,they say no possiblities of tkt fr my daugh 6yr(1/2 tkt"
YES,YES,@RailMinIndia @drmmalda the condition inside 13072's general bogey is worst than animals.People are forced to sleep at doors. Please do smth
NO,NO,@RailMinIndia forgot my laptop bag in S1 seat no 14 train no. 12939 (pune to jaipur) at jaipur stn with 3 cards n laptop and some cash (1/2)
NO,NO,@RailMinIndia @sureshpprabhu Escalator is bad idea: costly installation &amp; maintenance; potential danger of safety &amp; corruption!
NO,NO,@RailMinIndia @sureshpprabhu  frm Jbp to Patna pnr 83478 48608.will this reach on time?It is ruing like pasr not SF :(.tol disappointing
YES,YES,"@RailMinIndia paranthas /rotis are not baked properly. I dont understand why bread cutlets are served in breakfast ,who likes it."
YES,YES,@RailMinIndia train 12903 stuck between Kosikalan n palwal since one hour and no info when it will start as overhead wire has been broke
YES,YES,@RailMinIndia IRCTC is a shit... failed booking tickets many times and no refund of money
